Royce Gracie,Patrick Smith,1994-03-11 00:00:00,16
Royce Gracie,Remco Pardoel,1994-03-11 00:00:00,16
Patrick Smith,Johnny Rhodes,1994-03-11 00:00:00,17
Royce Gracie,Jason DeLucia,1994-03-11 00:00:00,15
Remco Pardoel,Orlando Wiet,1994-03-11 00:00:00,17
Johnny Rhodes,Fred Ettish,1994-03-11 00:00:00,17
Patrick Smith,Scott Morris,1994-03-11 00:00:00,16
Royce Gracie,Minoki Ichihara,1994-03-11 00:00:00,14
Jason DeLucia,Scott Baker,1994-03-11 00:00:00,17
Remco Pardoel,Alberta Cerra Leon,1994-03-11 00:00:00,16
Orlando Wiet,Robert Lucarelli,1994-03-11 00:00:00,17
Frank Hamaker,Thaddeus Luster,1994-03-11 00:00:00,16
Johnny Rhodes,David Levicki,1994-03-11 00:00:00,16
Patrick Smith,Ray Wizard,1994-03-11 00:00:00,16
Scott Morris,Sean Daugherty,1994-03-11 00:00:00,17
Steve Jennum,Harold Howard,1994-09-09 00:00:00,16
Ken Shamrock,Felix Lee Mitchell,1994-09-09 00:00:00,16
Royce Gracie,Kimo Leopoldo,1994-09-09 00:00:00,14
Harold Howard,Roland Payne,1994-09-09 00:00:00,17
Ken Shamrock,Christophe Leninger,1994-09-09 00:00:00,16
Keith Hackney,Emmanuel Yarborough,1994-09-09 00:00:00,16
Royce Gracie,Dan Severn,1994-12-16 00:00:00,13
Dan Severn,Marcus Bossett,1994-12-16 00:00:00,17
Royce Gracie,Keith Hackney,1994-12-16 00:00:00,13
Dan Severn,Anthony Macias,1994-12-16 00:00:00,16
Steve Jennum,Melton Bowen,1994-12-16 00:00:00,16
Keith Hackney,Joe Son,1994-12-16 00:00:00,16
Royce Gracie,Ron van Clief,1994-12-16 00:00:00,12
Guy Mezger,Jason Fairn,1994-12-16 00:00:00,16
Marcus Bossett,Eldo Xavier Dias,1994-12-16 00:00:00,17
Joe Charles,Kevin Rosier,1994-12-16 00:00:00,16
Dan Severn,Dave Beneteau,1995-04-07 00:00:00,16
Dan Severn,Oleg Taktarov,1995-04-07 00:00:00,15
Dave Beneteau,Todd Medina,1995-04-07 00:00:00,17
Dan Severn,Joe Charles,1995-04-07 00:00:00,15
Oleg Taktarov,Ernie Verdicia,1995-04-07 00:00:00,17
Todd Medina,Larry Cureton,1995-04-07 00:00:00,17
Jon Hess,Andy Anderson,1995-04-07 00:00:00,16
Guy Mezger,John Dowdy,1995-04-07 00:00:00,16
Dave Beneteau,Asbel Cancio,1995-04-07 00:00:00,16
Oleg Taktarov,David Abbott,1995-07-14 00:00:00,16
Ken Shamrock,Dan Severn,1995-07-14 00:00:00,18
Oleg Taktarov,Anthony Macias,1995-07-14 00:00:00,15
David Abbott,Paul Varelans,1995-07-14 00:00:00,17
Oleg Taktarov,Dave Beneteau,1995-07-14 00:00:00,16
Patrick Smith,Rudyard Moncayo,1995-07-14 00:00:00,15
Paul Varelans,Cal Worsham,1995-07-14 00:00:00,17
David Abbott,John Matua,1995-07-14 00:00:00,16
Anthony Macias,He-Man Gipson,1995-07-14 00:00:00,18
Joel Sutton,Jack McGlaughlin,1995-07-14 00:00:00,16
Marco Ruas,Paul Varelans,1995-09-08 00:00:00,16
Marco Ruas,Remco Pardoel,1995-09-08 00:00:00,17
Paul Varelans,Mark Hall,1995-09-08 00:00:00,17
Marco Ruas,Larry Cureton,1995-09-08 00:00:00,14
Remco Pardoel,Ryan Parker,1995-09-08 00:00:00,16
Mark Hall,Harold Howard,1995-09-08 00:00:00,17
Paul Varelans,Gerry Harris,1995-09-08 00:00:00,16
Scott Bessac,David Hood,1995-09-08 00:00:00,16
Onassis Parungao,Francesco Maturi,1995-09-08 00:00:00,16
Joel Sutton,Geza Kalman,1995-09-08 00:00:00,16
Dan Severn,Oleg Taktarov,1995-12-16 00:00:00,17
Oleg Taktarov,Marco Ruas,1995-12-16 00:00:00,17
Dan Severn,David Abbott,1995-12-16 00:00:00,14
Oleg Taktarov,Dave Beneteau,1995-12-16 00:00:00,14
Marco Ruas,Keith Hackney,1995-12-16 00:00:00,16
Dan Severn,Paul Varelans,1995-12-16 00:00:00,14
David Abbott,Steve Jennum,1995-12-16 00:00:00,18
Mark Hall,Trent Jenkins,1995-12-16 00:00:00,16
Joe Charles,Scott Bessac,1995-12-16 00:00:00,17
Don Frye,Gary Goodridge,1996-02-16 00:00:00,16
Ken Shamrock,Kimo Leopoldo,1996-02-16 00:00:00,14
Gary Goodridge,Jerry Bohlander,1996-02-16 00:00:00,17
Don Frye,Sam Adkins,1996-02-16 00:00:00,16
Gary Goodridge,Paul Herrera,1996-02-16 00:00:00,16
Jerry Bohlander,Scott Ferrozzo,1996-02-16 00:00:00,17
Paul Varelans,Joe Moreira,1996-02-16 00:00:00,16
Don Frye,Thomas Ramirez,1996-02-16 00:00:00,15
Sam Adkins,Keith Mielke,1996-02-16 00:00:00,17
Dan Severn,Ken Shamrock,1996-05-17 00:00:00,15
Don Frye,Amaury Bitetti,1996-05-17 00:00:00,14
Mark Hall,Koji Kitao,1996-05-17 00:00:00,16
Mark Schultz,Gary Goodridge,1996-05-17 00:00:00,17
Rafael Carino,Matt Andersen,1996-05-17 00:00:00,16
Cal Worsham,Zane Frazier,1996-05-17 00:00:00,17
Steve Nelmark,Tai Bowden,1996-05-17 00:00:00,16
Mark Coleman,Don Frye,1996-07-12 00:00:00,19
Mark Coleman,Gary Goodridge,1996-07-12 00:00:00,16
Don Frye,Brian Johnston,1996-07-12 00:00:00,15
Gary Goodridge,John Campetella,1996-07-12 00:00:00,17
Mark Coleman,Moti Horenstein,1996-07-12 00:00:00,15
Brian Johnston,Scott Fiedler,1996-07-12 00:00:00,17
Don Frye,Mark Hall,1996-07-12 00:00:00,15
Sam Adkins,Felix Lee Mitchell,1996-07-12 00:00:00,16
Geza Kalman,Dieusel Berto,1996-07-12 00:00:00,17
Scott Ferrozzo,David Abbott,1996-09-20 00:00:00,18
Mark Coleman,Brian Johnston,1996-09-20 00:00:00,14
Jerry Bohlander,Fabio Gurgel,1996-09-20 00:00:00,16
David Abbott,Sam Adkins,1996-09-20 00:00:00,17
Brian Johnston,Reza Nasri,1996-09-20 00:00:00,17
Mark Coleman,Julian Sanchez,1996-09-20 00:00:00,14
Roberto Traven,Dave Berry,1996-09-20 00:00:00,16
Scott Ferrozzo,Sam Fulton,1996-09-20 00:00:00,16
Don Frye,David Abbott,1996-12-07 00:00:00,14
David Abbott,Steve Nelmark,1996-12-07 00:00:00,17
Don Frye,Mark Hall,1996-12-07 00:00:00,13
Ken Shamrock,Brian Johnston,1996-12-07 00:00:00,14
Kimo Leopoldo,Paul Varelans,1996-12-07 00:00:00,19
David Abbott,Cal Worsham,1996-12-07 00:00:00,15
Don Frye,Gary Goodridge,1996-12-07 00:00:00,12
Tai Bowden,Jack Nilson,1996-12-07 00:00:00,17
Steve Nelmark,Marcus Bossett,1996-12-07 00:00:00,17
Mark Hall,Felix Lee Mitchell,1996-12-07 00:00:00,15
Mark Coleman,Dan Severn,1997-02-07 00:00:00,18
Vitor Belfort,Scott Ferrozzo,1997-02-07 00:00:00,17
Jerry Bohlander,Nick Sanzo,1997-02-07 00:00:00,16
